Symbol,Sector,industry
KKR,Finance,Investment Managers
KKR^A,,
KKR^B,,
KKR^C,,
KIO,,
KREF,Consumer Services,Real Estate Investment Trusts
KNX,Transportation,Trucking Freight/Courier Services
KNL,Consumer Durables,Office Equipment/Supplies/Services
KNOP,Consumer Services,Marine Transportation
KN,Consumer Non-Durables,Consumer Electronics/Appliances
KSS,Consumer Services,Department/Specialty Retail Stores
PHG,Health Care,Medical Electronics
KTB,Consumer Non-Durables,Apparel
KOP,Basic Industries,Forest Products
KEP,Public Utilities,Electric Utilities: Central
KF,,
KFY,Technology,Diversified Commercial Services
KOS,Energy,Oil & Gas Production
KRA,Basic Industries,Major Chemicals
KR,Consumer Services,Food Chains
KRO,Basic Industries,Major Chemicals
KT,Public Utilities,Telecommunications Equipment
LB,Consumer Services,Clothing/Shoe/Accessory Stores
LNFA.U,,
SCX,Capital Goods,Industrial Machinery/Components
LHX,Capital Goods,Industrial Machinery/Components
LH,Health Care,Medical Specialities
LADR,Consumer Services,Real Estate Investment Trusts
LAIX,Consumer Services,Other Consumer Services
LW,Consumer Non-Durables,Packaged Foods
LCI,Health Care,Major Pharmaceuticals
LPI,Energy,Oil & Gas Production
LVS,Consumer Services,Hotels/Resorts
LGI,,
LAZ,Finance,Investment Managers
LZB,Consumer Durables,Home Furnishings
LCII,Capital Goods,Auto Parts:O.E.M.
LEAF,Technology,EDP Services
LEA,Capital Goods,Auto Parts:O.E.M.
LEE,Consumer Services,Newspapers/Magazines
LEG,Consumer Durables,Home Furnishings
JBK,Finance,Finance: Consumer Services
KTH,Finance,Finance: Consumer Services
KTN,Finance,Finance: Consumer Services
LDOS,Technology,EDP Services
LEJU,Finance,Real Estate
LMND,Finance,Property-Casualty Insurers
LC,Finance,Finance: Consumer Services
LEN,Basic Industries,Homebuilding
LEN.B,Basic Industries,Homebuilding
LII,Capital Goods,Industrial Machinery/Components
LEVI,Consumer Non-Durables,Apparel
LXP,,
LXP^C,,
LPL,Capital Goods,Industrial Machinery/Components
DFNS,Finance,Business Services
DFNS.U,,
DFNS.WS,,
USA,,
ASG,,
LBRT,Energy,Oilfield Services/Equipment
LSI,Consumer Services,Real Estate Investment Trusts
LITB,Consumer Services,Catalog/Specialty Distribution
LSPD,Technology,Computer Software: Prepackaged Software
LNC,Finance,Life Insurance
LIN,Basic Industries,Major Chemicals
LNN,Capital Goods,Industrial Machinery/Components
LINX,Technology,Computer Software: Prepackaged Software
LGF.A,,
LGF.B,,
LAD,Consumer Durables,Automotive Aftermarket
LAC,Basic Industries,Precious Metals
LYV,Consumer Services,Services-Misc. Amusement & Recreation
LOKB.U,,
LTHM,Basic Industries,Major Chemicals
RAMP,Technology,EDP Services
LYG,Finance,Commercial Banks
SCD,,
LMT,Capital Goods,Military/Government/Technical
L,Finance,Property-Casualty Insurers
LOMA,Capital Goods,Building Materials
LGVW,Health Care,Medical Electronics
LGVW.U,,
LGVW.WS,,
LPX,Basic Industries,Forest Products
LOW,Consumer Services,RETAIL: Building Materials
LXU,Basic Industries,Major Chemicals
LTC,Consumer Services,Real Estate Investment Trusts
LUB,Consumer Services,Restaurants
LU,Finance,Finance: Consumer Services
LL,Consumer Services,RETAIL: Building Materials
LFT,Consumer Services,Real Estate Investment Trusts
LXFR,Basic Industries,Major Chemicals
LDL,Capital Goods,Auto Parts:O.E.M.
LYB,Basic Industries,Major Chemicals
MTB,Finance,Major Banks
MDC,Capital Goods,Homebuilding
MHO,Capital Goods,Homebuilding
MAC,Consumer Services,Real Estate Investment Trusts
CLI,Consumer Services,Real Estate Investment Trusts
MFD,,
MGU,,
MIC,Energy,Oil Refining/Marketing
BMA,Finance,Commercial Banks
M,Consumer Services,Department/Specialty Retail Stores
MCN,,
MSGE,Consumer Services,Services-Misc. Amusement & Recreation
MSGS,Consumer Services,Services-Misc. Amusement & Recreation
MMP,Energy,Natural Gas Distribution
MGA,Capital Goods,Auto Parts:O.E.M.
MX,Technology,Semiconductors
MGY,Energy,Oil & Gas Production
MH^A,,
MH^C,,
MH^D,,
MHLA,Finance,Property-Casualty Insurers
MHNC,Finance,Property-Casualty Insurers
MAIN,,
MMD,,
MANU,Consumer Services,Services-Misc. Amusement & Recreation
MTW,Capital Goods,Construction/Ag Equipment/Trucks
MN,Finance,Investment Managers
MAN,Technology,Professional Services
MFC,Finance,Life Insurance
MRO,Energy,Oil & Gas Production
MPC,Energy,Integrated oil Companies
MMI,Finance,Real Estate
MCS,Consumer Services,Movies/Entertainment
MPX,Capital Goods,Marine Transportation
HZO,Consumer Services,Other Specialty Stores
MKL,Finance,Property-Casualty Insurers
VAC,Finance,Real Estate
MMC,Finance,Specialty Insurers
MLM,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MAS,Capital Goods,Industrial Specialties
DOOR,Basic Industries,Forest Products
MTZ,Basic Industries,Water Supply
MA,Miscellaneous,Business Services
MTDR,Energy,Oil & Gas Production
MTRN,Capital Goods,Industrial Specialties
MATX,Consumer Services,Marine Transportation
MLP,Finance,Real Estate
MAXR,Technology,Radio And Television Broadcasting And Communications Equipment
MMS,Miscellaneous,Business Services
MXL,Technology,Semiconductors
MEC,Capital Goods,Industrial Specialties
MBI,Finance,Property-Casualty Insurers
MKC,Consumer Non-Durables,Packaged Foods
MKC.V,Consumer Non-Durables,Packaged Foods
MCD,Consumer Services,Restaurants
MUX,Basic Industries,Precious Metals
MCK,Health Care,Other Pharmaceuticals
MDU,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MTL,Basic Industries,Steel/Iron Ore
MTL^,,
MDLA,Technology,"Computer Software: Programming, Data Processing"
MAX,Finance,Property-Casualty Insurers
MPW,Consumer Services,Real Estate Investment Trusts
MED,Consumer Non-Durables,Packaged Foods
MDLQ,Finance,Investment Managers
MDLX,Finance,Investment Managers
MDLY,Finance,Investment Managers
MD,Health Care,Hospital/Nursing Management
MDT,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MRK,Health Care,Major Pharmaceuticals
MCY,Finance,Property-Casualty Insurers
MDP,Consumer Services,Newspapers/Magazines
MTH,Capital Goods,Homebuilding
MTOR,Capital Goods,Auto Parts:O.E.M.
MER^K,,
MTR,Energy,Oil & Gas Production
MSB,Basic Industries,Precious Metals
MEI,Capital Goods,Electrical Products
MET,Finance,Life Insurance
MET^A,,
MET^E,,
MET^F,,
MCB,Finance,Major Banks
MTD,Capital Goods,Biotechnology: Laboratory Analytical Instruments
MXE,,
MXF,,
MFA,Consumer Services,Real Estate Investment Trusts
MFA^B,,
MFA^C,,
MFO,,
MCR,,
MGF,,
MIN,,
MMT,,
MFM,,
MFV,,
MTG,Finance,Property-Casualty Insurers
MGP,Consumer Services,Real Estate Investment Trusts
MGM,Consumer Services,Hotels/Resorts
MFGP,Technology,Computer Software: Prepackaged Software
MAA,Consumer Services,Real Estate Investment Trusts
MAA^I,,
AMPY,Energy,Oil & Gas Production
MLR,Capital Goods,Construction/Ag Equipment/Trucks
HIE,,
MTX,Basic Industries,Major Chemicals
MNSO,Consumer Services,Department/Specialty Retail Stores
MG,Consumer Services,Military/Government/Technical
MUFG,Finance,Commercial Banks
MIXT,Technology,Computer Software: Prepackaged Software
MFG,Finance,Major Banks
MBT,Public Utilities,Telecommunications Equipment
MODN,Technology,"Computer Software: Programming, Data Processing"
MOD,Capital Goods,Auto Parts:O.E.M.
MC,Finance,Investment Managers
MOGU,Miscellaneous,Business Services
MHK,Consumer Durables,Home Furnishings
MOH,Health Care,Medical Specialities
TAP,Consumer Non-Durables,Beverages (Production/Distribution)
TAP.A,,
MNR,Consumer Services,Real Estate Investment Trusts
MNR^C,,
MEG,Consumer Services,Professional Services
MCO,Finance,Finance: Consumer Services
MOG.A,,
MOG.B,,
MS,Finance,Investment Bankers/Brokers/Service
MS^A,,
MS^E,,
MS^F,,
MS^I,,
MS^K,,
MS^L,,
CAF,,
MSD,,
EDD,,
IIF,,
MOS,Basic Industries,Agricultural Chemicals
MOTV.U,,
MSI,Technology,Radio And Television Broadcasting And Communications Equipment
MOV,Consumer Non-Durables,Consumer Specialties
MP,Basic Industries,Precious Metals
MP.WS,,
MPLX,Energy,Natural Gas Distribution
MRC,Capital Goods,Industrial Machinery/Components
MSA,Health Care,Industrial Specialties
MSM,Capital Goods,Industrial Machinery/Components
MSCI,Miscellaneous,Business Services
MSGN,Consumer Services,Television Services
MLI,Capital Goods,Metal Fabrications
MWA,Capital Goods,Metal Fabrications
MPLN,Miscellaneous,Business Services
MPLN.WS,,
MVF,,
MZA,,
MUR,Energy,Oil & Gas Production
MUSA,Consumer Durables,Automotive Aftermarket
MVO,Energy,Oil & Gas Production
MYE,Consumer Non-Durables,Plastic Products
MYOV,Health Care,Major Pharmaceuticals
NBR,Energy,Oil & Gas Production
NBR^A,,
NC,Consumer Durables,Consumer Electronics/Appliances
NTP,Finance,Real Estate
NTEST,,
NTEST.A,,
NTEST.B,,
NTEST.C,,
NBHC,Finance,Major Banks
NFG,Public Utilities,Oil/Gas Transmission
NGG,Public Utilities,Natural Gas Distribution
NHI,Consumer Services,Real Estate Investment Trusts
NPK,Capital Goods,Ordnance And Accessories
NNN,Consumer Services,Real Estate Investment Trusts
NNN^F,,
NRUC,Finance,Diversified Financial Services
SID,Capital Goods,Steel/Iron Ore
NSA,Consumer Services,Real Estate Investment Trusts
NSA^A,,
NTCO,,
NGS,Energy,Oilfield Services/Equipment
NGVC,Consumer Services,Food Chains
NRP,Energy,Coal Mining
NTZ,Consumer Durables,Home Furnishings
NWG,Finance,Commercial Banks
NLS,Consumer Non-Durables,Recreational Products/Toys
NVGS,Transportation,Marine Transportation
NNA,Transportation,Marine Transportation
NM,Transportation,Marine Transportation
NM^G,,
NM^H,,
NMM,Transportation,Marine Transportation
NAV,Capital Goods,Auto Manufacturing
NAV^D,Capital Goods,Auto Manufacturing
NSH,Finance,Business Services
NSH.U,,
NSH.WS,,
NCR,Miscellaneous,Office Equipment/Supplies/Services
NP,Basic Industries,Paper
NNI,Finance,Finance: Consumer Services
NPTN,Technology,Semiconductors
NSCO,Technology,Diversified Commercial Services
NSCO.WS,,
NTST,Consumer Services,Real Estate Investment Trusts
NVRO,Health Care,Medical/Dental Instruments
HYB,,
NFH,Health Care,Hospital/Nursing Management
NFH.WS,,
GF,,
NWHM,Capital Goods,Homebuilding
IRL,,
EDU,Consumer Services,Other Consumer Services
NEWR,Technology,Computer Software: Prepackaged Software
NRZ,Consumer Services,Real Estate Investment Trusts
NRZ^A,,
NRZ^B,,
NRZ^C,,
SNR,Consumer Services,Real Estate Investment Trusts
NYC,Consumer Services,Real Estate Investment Trusts
NYCB,Finance,Banks
NYCB^A,,
NYCB^U,,
NYT,Consumer Services,Newspapers/Magazines
NJR,Public Utilities,Oil/Gas Transmission
NEU,Basic Industries,Major Chemicals
NEM,Basic Industries,Precious Metals
NR,Energy,Metal Fabrications
NEXA,Basic Industries,Precious Metals
NREF,Consumer Services,Real Estate Investment Trusts
NREF^A,,
NXRT,Consumer Services,Real Estate Investment Trusts
NHF,,
NEP,Public Utilities,Electric Utilities: Central
NEE,Public Utilities,Electric Utilities: Central
NEE^K,,
NEE^N,,
NEE^O,,
NEE^P,,
NEE^Q,,
NEX,Energy,Oilfield Services/Equipment
NGL,Energy,Oil Refining/Marketing
NGL^B,,
NGL^C,,
NMK^B,Public Utilities,Natural Gas Distribution
NMK^C,Public Utilities,Natural Gas Distribution
NLSN,Miscellaneous,Business Services
NKE,Consumer Non-Durables,Shoe Manufacturing
NINE,Energy,Oilfield Services/Equipment
NIO,Capital Goods,Auto Manufacturing
NI,Public Utilities,Power Generation
NI^B,Public Utilities,Power Generation
NL,Basic Industries,Major Chemicals
NOAH,Finance,Investment Managers
NOK,Technology,Radio And Television Broadcasting And Communications Equipment
NOMD,Consumer Non-Durables,Packaged Foods
NMR,Finance,Investment Bankers/Brokers/Service
OSB,Basic Industries,Forest Products
NAT,Consumer Services,Marine Transportation
JWN,Consumer Services,Clothing/Shoe/Accessory Stores
NSC,Transportation,Railroads
NOA,Energy,Oilfield Services/Equipment
NRT,Energy,Oil & Gas Production
NGA,Finance,Business Services
NGA.U,,
NGA.WS,,
STIC,Finance,Business Services
STIC.U,,
STIC.WS,,
NOC,Capital Goods,Industrial Machinery/Components
NWN,Public Utilities,Oil/Gas Transmission
NCLH,Consumer Services,Marine Transportation
NOV,Energy,Metal Fabrications
NVS,Health Care,Major Pharmaceuticals
NVO,Health Care,Major Pharmaceuticals
DNOW,Energy,Metal Fabrications
NRG,Public Utilities,Electric Utilities: Central
NUS,Health Care,Other Pharmaceuticals
NUE,Basic Industries,Steel/Iron Ore
NS,Energy,Natural Gas Distribution
NS^A,,
NS^B,,
NS^C,,
NSS,,
NTR,Basic Industries,Agricultural Chemicals
NVG,,
NUV,,
NUW,,
NEA,,
NAZ,,
NKX,,
NCB,,
NCA,,
NAC,,
JCE,,
JHAA,,
JHB,,
JCO,,
JQC,,
JDD,,
DIAX,,
NDMO,,
JEMD,,
NEV,,
JFR,,
JRO,,
NKG,,
JGH,,
NXC,,
NXN,,
NID,,
NMY,,
NMT,,
NUM,,
NMS,,
NOM,,
JLS,,
JMM,,
NHA,,
NZF,,
NMCO,,
NMZ,,
NMI,,
NJV,,
NXJ,,
NRK,,
NYV,,
NNY,,
NAN,,
NUO,,
NPN,,
NQP,,
JPC,,
JPS,,
JPT,,
JPI,,
NAD,,
JRI,,
JRS,,
BXMX,,
SPXX,,
NIM,,
NXP,,
NXQ,,
NXR,,
NSL,,
JSD,,
NBB,,
JTD,,
JTA,,
NPV,,
NIQ,,
NVT,Technology,Industrial Machinery/Components
NVR,Capital Goods,Homebuilding
CTEST,,
CTEST.E,,
CTEST.G,,
CTEST.L,,
CTEST.O,,
CTEST.S,,
CTEST.V,,
OSH,Health Care,Medical/Nursing Services
OAC,Health Care,Medical/Nursing Services
OAC.U,,
OAC.WS,,
OACB,Finance,Business Services
OACB.U,,
OACB.WS,,
OAK^A,,
OAK^B,,
OXY,Energy,Oil & Gas Production
OXY.WS,,
OII,Energy,Oilfield Services/Equipment
OCN,Finance,Finance: Consumer Services
OFG,Finance,Major Banks
OFG^A,Finance,Major Banks
OFG^B,,
OFG^D,,
OGE,Public Utilities,Electric Utilities: Central
OI,Consumer Durables,Containers/Packaging
OIBR.C,,
OIS,Energy,Metal Fabrications
ODC,Consumer Durables,Miscellaneous manufacturing industries
ORI,Finance,Property-Casualty Insurers
OLN,Basic Industries,Major Chemicals
OHI,Consumer Services,Real Estate Investment Trusts
OCA.U,,
OMC,Technology,Advertising
AONE,Finance,Business Services
AONE.U,,
AONE.WS,,
OGS,Public Utilities,Oil/Gas Transmission
OLP,Consumer Services,Real Estate Investment Trusts
OCFT,Technology,"Computer Software: Programming, Data Processing"
OMF,Finance,Finance: Consumer Services
OKE,Public Utilities,Oil & Gas Production
ONE,Consumer Services,Other Consumer Services
ONTO,Capital Goods,Industrial Machinery/Components
OOMA,Technology,EDP Services
OPY,Finance,Investment Bankers/Brokers/Service
ORCL,Technology,Computer Software: Prepackaged Software
ORAN,Public Utilities,Telecommunications Equipment
ORC,Consumer Services,Real Estate Investment Trusts
OEC,Basic Industries,Major Chemicals
ORN,Basic Industries,Military/Government/Technical
IX,Finance,Diversified Financial Services
ORA,Public Utilities,Electric Utilities: Central
OSK,Capital Goods,Auto Manufacturing
OR,Basic Industries,Precious Metals
SFTW,Finance,Business Services
SFTW.U,,
SFTW.WS,,
OTIS,Energy,Consumer Electronics/Appliances
OUT,Consumer Services,Real Estate Investment Trusts
OSG,Transportation,Marine Transportation
OVV,Energy,Oil & Gas Production
OMI,Health Care,Medical Specialities
OC,Capital Goods,Industrial Machinery/Components
ORCC,,
OXM,Consumer Non-Durables,Apparel
PCG,Public Utilities,Power Generation
PCGU,Public Utilities,Power Generation
PKG,Consumer Durables,Containers/Packaging
PD,Technology,Computer Software: Prepackaged Software
PAGS,Technology,EDP Services
PLTR,Technology,Computer Software: Prepackaged Software
PANW,Technology,Computer peripheral equipment
PAM,Public Utilities,Electric Utilities: Central
PANA,Health Care,Major Pharmaceuticals
PANA.U,,
PANA.WS,,
PARR,Energy,Oil & Gas Production
PAR,Miscellaneous,Office Equipment/Supplies/Services
PGRE,Consumer Services,Real Estate Investment Trusts
PKE,Capital Goods,Military/Government/Technical
PK,Consumer Services,Hotels/Resorts
PH,Capital Goods,Metal Fabrications
PE,,
PSN,Technology,EDP Services
PRE^G,,
PRE^H,,
PRE^I,,
PRTY,Consumer Services,Other Specialty Stores
PAYC,Technology,Computer Software: Prepackaged Software
PBF,Energy,Integrated oil Companies
PBFX,Energy,Natural Gas Distribution
BTU,Energy,Coal Mining
PSO,Consumer Services,Books
PEB,Consumer Services,Real Estate Investment Trusts
PEB^C,,
PEB^D,,
PEB^E,,
PEB^F,,
PBA,Energy,Oil & Gas Production
PEI,Consumer Services,Real Estate Investment Trusts
PEI^B,,
PEI^C,,
PEI^D,,
PFSI,Finance,Finance: Consumer Services
PMT,Consumer Services,Real Estate Investment Trusts
PMT^A,,
PMT^B,,
PAG,Consumer Durables,Automotive Aftermarket
PNR,Technology,Industrial Machinery/Components
PEN,Health Care,Medical/Dental Instruments
PFGC,Consumer Non-Durables,Food Distributors
PDAC,Finance,Business Services
PDAC.U,,
PDAC.WS,,
PCPC.U,,
PKI,Capital Goods,Biotechnology: Laboratory Analytical Instruments
PBT,Energy,Oil & Gas Production
PVL,Energy,Oil & Gas Production
PRT,Energy,Oil & Gas Production
PRGO,Health Care,Major Pharmaceuticals
PSTH,Finance,Business Services
PSTH.WS,,
PRSP,Technology,EDP Services
PTR,Energy,Oil & Gas Production
PBR,Energy,Oil & Gas Production
PBR.A,,
PFE,Health Care,Major Pharmaceuticals
GHY,,
ISD,,
SDHY,,
PGTI,Capital Goods,Building Products
PM,Consumer Non-Durables,Farming/Seeds/Milling
PSX,Energy,Integrated oil Companies
PSXP,Energy,Natural Gas Distribution
FENG,Consumer Services,Broadcasting
DNK,Consumer Services,Building operators
PHR,Miscellaneous,Business Services
PHX,Energy,Oil & Gas Production
DOC,Consumer Services,Real Estate Investment Trusts
PDM,Consumer Services,Building operators
PCQ,,
PCK,,
PZC,,
PCM,,
PTY,,
PCN,,
PCI,,
PDI,,
NRGX,,
PGP,,
PHK,,
PKO,,
PFL,,
PFN,,
PMF,,
PML,,
PMX,,
PNF,,
PNI,,
PYN,,
RCS,,
PIPP.U,,
PING,Technology,Computer Software: Prepackaged Software
PNW,Public Utilities,Electric Utilities: Central
PINS,Technology,"Computer Software: Programming, Data Processing"
PHD,,
PHT,,
MAV,,
MHI,,
PXD,Energy,Oil & Gas Production
PIPR,Finance,Investment Bankers/Brokers/Service
PBI,Miscellaneous,Office Equipment/Supplies/Services
PBI^B,,
PJT,Finance,Investment Managers
PLNT,Consumer Services,Hotels/Resorts
PLT,Public Utilities,Telecommunications Equipment
AGS,Consumer Durables,Miscellaneous manufacturing industries
PHI,Public Utilities,Telecommunications Equipment
PLYM,Consumer Services,Real Estate Investment Trusts
PMVC,Finance,Business Services
PMVC.U,,
PMVC.WS,,
PNC,Finance,Major Banks
PNC^P,,
PNM,Public Utilities,Electric Utilities: Central
PII,Capital Goods,Industrial Specialties
POR,Public Utilities,Electric Utilities: Central
PKX,Basic Industries,Steel/Iron Ore
POST,Consumer Non-Durables,Packaged Foods
PSTL,Consumer Services,Real Estate Investment Trusts
PPG,Basic Industries,Paints/Coatings
PPX,Public Utilities,Electric Utilities: Central
PPL,Public Utilities,Electric Utilities: Central
PYS,Finance,Finance: Consumer Services
PYT,Finance,Finance: Consumer Services
PQG,Basic Industries,Major Chemicals
PDS,Energy,Oil & Gas Production
APTS,Consumer Services,Real Estate Investment Trusts
PBH,Health Care,Major Pharmaceuticals
PVG,Basic Industries,Precious Metals
PIAI,Finance,Business Services
PIAI.U,,
PIAI.WS,,
PRI,Finance,Life Insurance
PRMW,Consumer Non-Durables,Beverages (Production/Distribution)
PGZ,,
PRIF^A,,
PRIF^B,,
PRIF^C,,
PRIF^D,,
PRIF^E,,
PRIF^F,,
PRA,Finance,Property-Casualty Insurers
PG,Basic Industries,Package Goods/Cosmetics
AAN,Technology,Diversified Commercial Services
PRG,Technology,Diversified Commercial Services
PGR,Finance,Property-Casualty Insurers
PLD,Consumer Services,Real Estate Investment Trusts
PUMP,Energy,Oilfield Services/Equipment
PRO,Technology,EDP Services
PROS,Finance,Property-Casualty Insurers
PBB,,
PBC,,
PBY,,
PB,Finance,Major Banks
PRLB,Capital Goods,Metal Fabrications
PFS,Finance,Savings Institutions
PFH,Finance,Life Insurance
PRS,Finance,Life Insurance
PRU,Finance,Life Insurance
PUK,Finance,Life Insurance
PUK^,,
PUK^A,,
PSB,Consumer Services,Real Estate Investment Trusts
PSB^W,,
PSB^X,,
PSB^Y,,
PSB^Z,,
TLK,Public Utilities,Telecommunications Equipment
PEG,Public Utilities,Power Generation
PSA,Consumer Services,Real Estate Investment Trusts
PSA^B,Consumer Services,Real Estate Investment Trusts
PSA^C,Consumer Services,Real Estate Investment Trusts
PSA^D,Consumer Services,Real Estate Investment Trusts
PSA^E,Consumer Services,Real Estate Investment Trusts
PSA^F,Consumer Services,Real Estate Investment Trusts
PSA^G,,
PSA^H,,
PSA^I,,
PSA^J,,
PSA^K,Consumer Services,Real Estate Investment Trusts
PSA^L,Consumer Services,Real Estate Investment Trusts
PSA^M,,
PSA^N,,
PSA^O,,
PHM,Capital Goods,Homebuilding
PSTG,Technology,Electronic Components
PMM,,
PIM,,
PMO,,
PPT,,
NEW,Consumer Services,Other Consumer Services
PVH,Consumer Non-Durables,Apparel
PZN,Finance,Investment Managers
QTWO,Technology,Computer Software: Prepackaged Software
QEP,Energy,Oil & Gas Production
QGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
QTS,Consumer Services,Real Estate Investment Trusts
QTS^A,,
QTS^B,,
QUAD,Miscellaneous,Publishing
KWR,Basic Industries,Major Chemicals
NX,Capital Goods,Metal Fabrications
PWR,Capital Goods,Engineering & Construction
QS,Miscellaneous,Industrial Machinery/Components
QS.WS,,
QD,Finance,Finance: Consumer Services
DGX,Health Care,Medical Specialities
QUOT,Consumer Services,Advertising
QVCC,Consumer Services,Catalog/Specialty Distribution
QVCD,Consumer Services,Catalog/Specialty Distribution
CTAA,Public Utilities,Telecommunications Equipment
CTBB,Public Utilities,Telecommunications Equipment
CTDD,Public Utilities,Telecommunications Equipment
RRD,Miscellaneous,Publishing
RDN,Finance,Property-Casualty Insurers
RFL,Finance,Real Estate
RL,Consumer Non-Durables,Apparel
RRC,Energy,Oil & Gas Production
RNGR,Energy,Oilfield Services/Equipment
PACK,Consumer Durables,Containers/Packaging
RJF,Finance,Investment Bankers/Brokers/Service
RYAM,Basic Industries,Paper
RYN,Consumer Services,Real Estate Investment Trusts
RTX,Capital Goods,Aerospace
RMAX,Finance,Real Estate
RC,Consumer Services,Real Estate Investment Trusts
RCA,Consumer Services,Real Estate Investment Trusts
RCB,Consumer Services,Real Estate Investment Trusts
RCP,Consumer Services,Real Estate Investment Trusts
RLGY,Finance,Real Estate
O,Consumer Services,Real Estate Investment Trusts
RLH,Consumer Services,Hotels/Resorts
RBAC,Finance,Business Services
RBAC.U,,
RBAC.WS,,
RWT,Consumer Services,Real Estate Investment Trusts
RBC,Consumer Durables,Metal Fabrications
RM,Finance,Finance: Consumer Services
RF,Finance,Major Banks
RF^A,,
RF^B,,
RF^C,,
RGS,Consumer Services,Other Consumer Services
RGA,Finance,Life Insurance
RZA,Finance,Life Insurance
RZB,Finance,Life Insurance
RTP,Finance,Business Services
RTP.U,,
RTP.WS,,
RTPZ.U,,
RS,Basic Industries,Metal Fabrications
RELX,Consumer Services,Publishing
RNR,Finance,Property-Casualty Insurers
RNR^E,,
RNR^F,,
SOL,Technology,Semiconductors
RENN,Consumer Durables,Automotive Aftermarket
RPLA,Finance,Business Services
RPLA.U,,
RPLA.WS,,
RSG,Public Utilities,Environmental Services
REZI,Capital Goods,Wholesale Distributors
RMD,Health Care,Medical/Dental Instruments
RFP,Basic Industries,Paper
QSR,Consumer Services,Restaurants
RPAI,Consumer Services,Real Estate Investment Trusts
RVI,Finance,Real Estate
REVG,Capital Goods,Auto Manufacturing
REV,Consumer Non-Durables,Package Goods/Cosmetics
RVLV,Consumer Services,Catalog/Specialty Distribution
REX,Basic Industries,Major Chemicals
REXR,Consumer Services,Real Estate Investment Trusts
REXR^A,,
REXR^B,,
REXR^C,,
RXN,Technology,Industrial Machinery/Components
RH,Consumer Services,Other Specialty Stores
LEAP,Finance,Business Services
LEAP.U,,
LEAP.WS,,
RICE,Finance,Business Services
RICE.U,,
RICE.WS,,
RNG,Technology,EDP Services
RIO,Basic Industries,Precious Metals
RBA,Miscellaneous,Business Services
RAD,Health Care,Medical/Nursing Services
RFM,,
RMM,,
RMI,,
RIV,,
RMPL^,,
RSF,,
OPP,,
OPP^A,,
RLI,Finance,Property-Casualty Insurers
RLJ,Consumer Services,Real Estate Investment Trusts
RLJ^A,,
RHI,Technology,Professional Services
RKT,Finance,Finance: Consumer Services
ROK,Capital Goods,Industrial Machinery/Components
RCI,Consumer Services,Television Services
ROG,Basic Industries,Major Chemicals
ROL,Finance,Diversified Commercial Services
RMO,Capital Goods,Auto Parts:O.E.M.
RMO.WS,,
ROP,Capital Goods,Industrial Machinery/Components
RY,Finance,Commercial Banks
RY^T,,
RCL,Consumer Services,Marine Transportation
RDS.A,,
RDS.B,,
RGT,,
RMT,,
RVT,,
RES,Energy,Oilfield Services/Equipment
RPM,Basic Industries,Paints/Coatings
RPT,Consumer Services,Real Estate Investment Trusts
RPT^D,,
RSI,Consumer Services,Services-Misc. Amusement & Recreation
RSI.WS,,
RYB,Consumer Services,Other Consumer Services
R,Consumer Services,Rental/Leasing Companies
RYI,Basic Industries,Metal Fabrications
RHP,Consumer Services,Real Estate Investment Trusts
SPGI,Finance,Finance: Consumer Services
SBR,Energy,Oil & Gas Production
SB,Transportation,Marine Transportation
SB^C,,
SB^D,,
SFE,Finance,Finance/Investors Services
SAFE,Consumer Services,Real Estate
SAIL,Technology,Computer Software: Prepackaged Software
CRM,Technology,Computer Software: Prepackaged Software
SMM,,
SBH,Consumer Services,Other Specialty Stores
SJT,Energy,Oil & Gas Production
SBG,Finance,Business Services
SBG.U,,
SBG.WS,,
SD,Energy,Oil & Gas Production
SAND          ,Basic Industries,Precious Metals
SC,Finance,Finance: Consumer Services
SAP,Technology,Computer Software: Prepackaged Software
SAF,,
SAK,,
SAR,,
SSL,Energy,Oil & Gas Production
BFS,Consumer Services,Real Estate Investment Trusts
BFS^D,,
BFS^E,,
SCPE,Finance,Business Services
SCPE.U,,
SCPE.WS,,
SLB,Energy,Oilfield Services/Equipment
SNDR,Transportation,Trucking Freight/Courier Services
SWM,Basic Industries,Paper
SAIC,Technology,EDP Services
SALT,Transportation,Marine Transportation
SBBA,Transportation,Marine Transportation
STNG,Transportation,Marine Transportation
SMG,Basic Industries,Agricultural Chemicals
KTF,,
KSM,,
SRL,,
SCU,Finance,Investment Managers
SCVX,Finance,Business Services
SCVX.U,,
SCVX.WS,,
SE,Consumer Services,Other Consumer Services
SA,Basic Industries,Precious Metals
CKH,Transportation,Marine Transportation
SMHI,Transportation,Marine Transportation
SEE,Basic Industries,Major Chemicals
SEAS,Consumer Services,Services-Misc. Amusement & Recreation
WTTR,Energy,Oilfield Services/Equipment
SEM,Health Care,Hospital/Nursing Management
SLQT,Finance,Specialty Insurers
SRE,Public Utilities,Natural Gas Distribution
SRE^A,,
SRE^B,,
SREA,Public Utilities,Natural Gas Distribution
ST,Capital Goods,Industrial Machinery/Components
SXT,Basic Industries,Major Chemicals
SQNS,Technology,Semiconductors
