,Sector,industry,Market Cap,Enterprise Value,Shares Outstanding,PEG Ratio,Price/Book,Price/Sales,Forward P/E,Trailing P/E,Quarterly Revenue Growth,Average Dividend Yield,Held by Insiders,Held by Institutions,Gross Profit,EBITDA,EBIT_Q,EBIT_Y,Quarterly Earnings Growth,Total Cash,Diluted EPS,Quarterly Cash Growth,Cash,Net Income Q,Net Income Y
BBDC,,,589800000.0,,47960000.0,,1.1,236.1,11.0,5.8,-0.154,9.1,0.0088,0.5749,75650000.0,,11699157.0,56652537.0,7.311,14790000.0,-0.0,-0.19866936924282783,14787358.0,43177627.0,58191634.0
MCI,,,267050000.0,,20260000.0,,0.9,57.3,,77.5,-0.23,7.7,0.0,0.1707,28410000.0,,4537767.0,23639877.0,0.855,18930000.0,0.3,-0.21440225633033688,18931805.0,12907136.0,39012913.0
MPV,Consumer Services,Miscellaneous,125950000.0,,10600000.0,,0.9,57.3,,91.3,-0.223,7.4,0.0,0.21530000000000002,13280000.0,,2176680.0,11188902.0,-0.594,11840000.0,0.1,-0.37201781815554313,11837174.0,2044043.0,17809961.0
BNED,Consumer Services,Other Specialty Stores,267890000.0,680540000.0,49060000.0,,0.7,0.1,,,-0.22899999999999998,,0.2752,0.5809000000000001,442550000.0,-26280000.0,10120000.0,-29319000.0,-0.7909999999999999,7350000.0,-1.6,-0.015794405032793467,7353000.0,7515000.0,-38250000.0
B,Capital Goods,Metal Fabrications,2690000000.0,3330000000.0,50620000.0,2.7,2.0,2.2,27.7,31.4,-0.278,1.1,0.08539999999999999,0.8825,546960000.0,265320000.0,31118000.0,242558000.0,-0.664,77480000.0,1.6,0.0437377084511975,77485000.0,15358000.0,158350000.0
GOLD,Basic Industries,Precious Metals,41940000000.0,42350000000.0,1780000000.0,,1.8,3.4,17.2,13.7,0.322,0.8,0.0053,0.6605,2860000000.0,6520000000.0,1485000000.0,2897000000.0,-0.613,4740000000.0,1.7,0.26743254074271977,4744000000.0,882000000.0,3969000000.0
BHC,Health Care,Major Pharmaceuticals,8199999999.999999,31570000000.0,354990000.0,,13.9,1.0,4.9,,-0.032,,0.005600000000000001,0.6675,6250000000.0,3120000000.0,474000000.0,1334000000.0,,977000000.0,-5.4,0.09040178571428571,977000000.0,71000000.0,-1788000000.0
BAX,Health Care,Medical/Dental Instruments,40890000000.0,43500000000.0,510820000.0,2.6,4.7,3.5,23.4,45.2,0.042,1.1,0.0014000000000000002,0.8873000000000001,4920000000.0,2760000000.0,513000000.0,1990000000.0,-0.035,4360000000.0,1.7,0.06707466340269277,4359000000.0,356000000.0,1001000000.0
BCE,Public Utilities,Telecommunications Equipment,39920000000.0,63750000000.0,904330000.0,,3.0,2.1,16.6,22.1,-0.026000000000000002,5.1,0.0003,0.4965,10290000000.0,,1334000000.0,5645000000.0,-0.19899999999999998,,2.2,0.08532643826761474,1679000000.0,724000000.0,3191000000.0
BZH,Capital Goods,Homebuilding,470680000.0,1290000000.0,31250000.0,,0.8,0.2,4.1,8.9,-0.121,,0.048799999999999996,0.7737999999999999,350540000.0,97650000.0,36223000.0,82010000.0,8.748,327690000.0,1.7,1.1521088095832293,327693000.0,23678000.0,52226000.0
BDX,Health Care,Medical/Dental Instruments,76500000000.0,91580000000.0,290850000.0,1.8,3.2,4.3,20.9,97.0,0.044000000000000004,1.3,0.0066,0.8695,7920000000.0,4670000000.0,997000000.0,2520000000.0,-0.21,2840000000.0,2.7,-0.01977793199167245,2825000000.0,128000000.0,874000000.0
BDXB,Health Care,Medical/Dental Instruments,,,,,,,,,0.044000000000000004,,,,7920000000.0,4670000000.0,997000000.0,2520000000.0,-0.21,2840000000.0,,-0.01977793199167245,2825000000.0,128000000.0,874000000.0
BDC,Basic Industries,Telecommunications Equipment,1950000000.0,3110000000.0,44610000.0,,2.5,1.0,14.2,51.6,-0.107,0.3,0.0204,1.0569,797520000.0,244680000.0,38164000.0,235360000.0,,391500000.0,-4.6,0.08839261388593891,391497000.0,16996000.0,-377015000.0
BRBR,Consumer Non-Durables,Packaged Foods,958510000.0,1600000000.0,39430000.0,,,0.9,31.9,40.5,0.317,,0.0062,1.0937999999999999,338000000.0,191200000.0,49000000.0,165900000.0,-0.625,48700000.0,3.2,1.1644444444444444,48700000.0,10000000.0,23500000.0
BHE,Technology,Electrical Products,1060000000.0,958360000.0,36470000.0,,1.0,0.5,,652.0,-0.053,,0.015700000000000002,0.9948,201310000.0,91190000.0,13462000.0,60327000.0,-0.171,329560000.0,-0.0,-0.06153482531103435,329558000.0,5915000.0,23425000.0
BRK.A,,,,,,,,,,,,,,,,,,,,,,,,,
BRK.B,,,,,,,,,,,,,,,,,,,,,,,,,
BHLB,Finance,Banks,969880000.0,,50830000.0,,0.8,2.4,36.3,7.5,0.001,3.3,0.049100000000000005,0.7916,412490000.0,,0.0,0.0,-0.062,944820000.0,-10.3,-0.10425685149288609,935292000.0,21225000.0,97450000.0
BERY,Consumer Non-Durables,Plastic Products,7170000000.0,17120000000.000002,133500000.0,,3.5,0.6,10.1,13.2,-0.004,,0.0016,0.9821,2410000000.0,2120000000.0,388000000.0,1273000000.0,-0.14800000000000002,750000000.0,4.1,-0.17218543046357615,750000000.0,195000000.0,559000000.0
BBY,Consumer Services,Consumer Electronics/Video Chains,27850000000.0,26900000000.0,258829999.99999997,1.4,6.8,0.6,14.5,16.4,0.214,2.4,0.114,0.8079999999999999,10050000000.0,3220000000.0,708000000.0,2053000000.0,0.33399999999999996,5820000000.0,6.5,-0.031856738925541944,5136000000.0,391000000.0,1541000000.0
BEST,Transportation,Trucking Freight/Courier Services,800730000.0,2009999999.9999998,385400000.0,3.3,2.1,0.1,67.1,,-0.006,,0.2061,0.35200000000000004,1960000000.0,,-628616000.0,-325825000.0,,,,-0.23930613925690847,1814016000.0,-633550000.0,-202416000.0
BGSF,Technology,Professional Services,139280000.0,183420000.0,10320000.0,0.5,2.1,0.5,11.4,71.0,-0.099,6.2,0.028900000000000002,0.5085000000000001,80680000.0,17540000.0,3571966.0,19761488.0,-0.39,,0.1,,,2565563.0,13246990.0
BHP,Basic Industries,Precious Metals,181460000000.0,195050000000.0,2530000000.0,,3.7,4.2,15.0,22.7,-0.124,4.4,0.0,0.044500000000000005,34119999999.999996,20600000000.0,3184000000.0,15149000000.0,-0.32,13460000000.0,3.1,0.0,13426000000.0,1544000000.0,7956000000.0
BBL,Energy,Coal Mining,147950000000.0,161630000000.0,2530000000.0,,3.0,3.4,14.2,18.5,-0.124,5.1,0.0001,0.0436,34119999999.999996,20600000000.0,3184000000.0,15149000000.0,-0.32,13460000000.0,3.1,0.0,13426000000.0,1544000000.0,7956000000.0
BIG,Consumer Services,Department/Specialty Retail Stores,1650000000.0,2850000000.0,37110000.0,,1.3,0.2,,2.8,0.18,2.8,0.01,1.0423,2109999999.9999998,490430000.0,42500000.0,167578000.0,-0.764,547830000.0,15.8,-0.39032340633903134,547831000.0,29910000.0,242464000.0
BH,Consumer Services,Restaurants,338830000.0,506850000.0,2069999.9999999998,,0.6,0.6,,,-0.364,,0.0042,0.8382,135180000.0,75210000.0,6587000.0,13802000.0,,118250000.0,-174.9,-0.08985125418519128,33164000.0,21101000.0,45380000.0
BH.A,,,,,,,,,,,,,,,,,,,,,,,,,
BILL,Technology,Computer Software: Prepackaged Software,10370000000.0,9730000000.0,81160000.0,,14.4,61.3,,,0.314,,0.0435,0.9152,118460000.0,-37500000.0,-13781000.0,-34198000.0,,700320000.0,-1.7,-0.01654339022702273,564153000.0,-12951000.0,-31091000.0
BHVN,Health Care,Major Pharmaceuticals,5110000000.0,4830000000.0,60150000.0,,31.8,169.1,,,,,0.1379,1.1755,,-604870000.0,-163157000.0,-479122000.0,,546210000.0,-12.3,0.21132991906106235,316231000.0,-195189000.0,-528805000.0
BIO,Capital Goods,Biotechnology: Laboratory Analytical Instruments,18030000000.0,17520000000.0,24740000.0,1.1,2.0,7.6,51.0,5.1,0.155,,0.1436,0.7959999999999999,1260000000.0,459620000.0,108500000.0,252861000.0,,1150000000.0,116.6,0.3830597909095697,840325000.0,1314824000.0,1758675000.0
BIO.B,,,,,,,,,,,,,,,,,,,,,,,,,
BJ,Consumer Services,Department/Specialty Retail Stores,5480000000.0,8630000000.0,137280000.0,1.1,25.2,0.3,14.7,15.0,0.156,,0.025699999999999997,1.0879,2430000000.0,761250000.0,190355000.0,369499000.0,1.229,46120000.0,2.6,-0.7268187499629764,46116000.0,122796000.0,187176000.0
BKH,Public Utilities,Electric Utilities: Central,3730000000.0,7340000000.0,62750000.0,2.7,1.4,2.1,15.2,16.7,0.065,2.9,0.0069,0.8767,669530000.0,653120000.0,84134000.0,405829000.0,2.0909999999999997,6960000.0,3.5,-0.7799607694254619,6955000.0,36283000.0,199310000.0
BKI,Technology,Computer Software: Prepackaged Software,13810000000.0,16079999999.999998,157030000.0,4.3,5.3,11.0,38.9,58.0,0.045,,0.038,0.9222,531200000.00000006,406100000.0,81400000.0,301200000.0,2.426,31200000.0,1.5,-0.8632778264680105,31200000.0,127800000.0,108800000.0
BSM,Energy,Oil & Gas Production,1610000000.0,1750000000.0,206750000.0,,1.5,4.7,22.9,15.2,-0.42100000000000004,9.1,0.2811,0.1783,384750000.0,264980000.00000003,1183000.0,235272000.0,-0.662,3060000.0,0.5,0.910625,3057000.0,23733000.0,214368000.0
BB,Technology,Computer Software: Prepackaged Software,5550000000.0,5470000000.0,562630000.0,,3.0,5.8,56.1,,-0.184,,0.013300000000000001,0.5039,768000000.0,112000000.0,-42000000.0,-169000000.0,,674000000.0,-1.4,-0.7335722819593787,223000000.0,-130000000.0,-152000000.0
BGIO,,,201320000.0,,22150000.0,,1.0,6.1,,6.2,,,0.0008,0.221,,,,,,,,,,,
BFZ,,,445500000.0,,31550000.0,,0.8,13.2,,13.0,-0.11599999999999999,4.7,0.0,0.3328,25850000.0,,5193293.0,20875338.0,-0.794,,1.0,,,3714021.0,33228519.0
BCAT,,,,,100000000.0,,,,,,,,0.0017000000000000001,0.0171,,,,,,,,,,,
CII,,,767710000.0,,44120000.0,,1.0,47.2,,48.3,-0.057999999999999996,6.9,0.0001,0.2253,14790000.0,,1989424.0,8012154.0,,2.17,0.3,0.0,2169.0,-30318155.0,162607844.0
BHK,,,879140000.0,,53940000.0,,1.0,6.5,,6.5,,5.7,0.0001,0.2853,46740000.0,,10194213.0,40115187.0,,2100000.0,,0.0,2096407.0,24502781.0,-22442646.0
HYT,,,1390000000.0,,121900000.0,,1.0,15.1,,14.6,,8.1,0.0002,0.2851,120450000.0,,26303350.0,107037579.0,,1570000.0,0.7,0.0,1568545.0,-46132525.0,174581760.0
BTZ,,,1380000000.0,,93480000.0,,1.0,7.2,,7.2,,6.7,0.0,0.3454,108850000.0,,21905326.0,94549416.0,,17.41,2.0,0.0,17413.0,-657205.0,178367754.0
DSU,,,486080000.0,,46780000.0,,0.9,24.3,,24.7,,15.3,0.0012,0.355,52160000.0,,8920487.0,46498968.0,,3590000.0,0.4,0.0,3594652.0,-27247892.0,49669591.0
BGR,,,211760000.0,,29830000.0,,0.8,4.4,,4.5,-0.01,,0.0001,0.20879999999999999,14460000.0,,2910999.0,10075651.0,,11.73,-4.1,0.0,11734.0,-61498862.0,45278593.0
BDJ,,,1590000000.0,,187540000.0,,1.0,3.6,,3.7,-0.006999999999999999,7.0,0.0001,0.1743,51070000.0,,10083995.0,35572226.0,,2.7,-0.7,0.0,2701.0,-150358954.0,384318011.0
EGF,,,57340000.0,,4260000.0,,0.9,35.2,,33.6,-0.171,3.8,0.0003,0.6563,2800000.0,,438133.0,2112327.0,-0.442,2.89,0.3,0.0,2889.0,479427.0,2618316.0
FRA,,,432100000.0,,35680000.0,,0.9,29.0,,27.5,,6.0,0.0001,0.39390000000000003,43920000.0,,7095866.0,37726743.0,,343.81,0.4,0.0,343811.0,-21535156.0,14604022.0
BGT,,,266470000.00000003,,22600000.0,,0.9,29.1,,27.4,,5.9,0.0,0.3696,24080000.0,,4523505.0,19941072.0,,8.27,0.5,0.0,8273.0,-13343456.0,52161582.0
BOE,,,708950000.0,,64980000.00000001,,1.0,4.9,,4.9,-0.2,8.0,0.0,0.32030000000000003,28100000.0,,4963699.0,20684957.0,,244.62,-0.5,0.0,244618.0,-41293741.0,130809874.0
BME,,,548070000.0,,11520000.0,,1.1,9.9,,9.3,0.076,6.3,0.0507,0.1635,4940000.0,,195550.0,633566.0,-0.701,4.33,4.7,0.0,4332.0,5305446.0,79879633.0
BMEZ,,,,,,,,,,,,,0.0001,0.1015,,,,,,,,,,,
BAF,,,132900000.0,,8750000.0,,0.9,59.2,,66.7,-0.042,5.2,0.0001,0.1472,8990000.0,,1872220.0,7516822.0,,,0.2,,,-1739256.0,1865524.0
BKT,,,387250000.0,,63800000.0,,0.9,18.4,,19.5,-0.018000000000000002,5.9,0.0001,0.39759999999999995,24340000.0,,5133584.0,20537583.0,-0.414,1460000.0,0.3,,,6353429.0,29421875.0
BGY,,,616140000.0,,104970000.0,,1.0,95.0,,97.8,-0.28,8.1,0.0,0.38409999999999994,23700000.0,,3987951.0,16918169.0,,532.95,0.0,0.0,532946.0,-20869852.0,114465266.0
BKN,,,295250000.0,,17190000.0,,1.1,7.6,,94.8,-0.021,5.0,0.0002,0.13390000000000002,18650000.0,,3938398.0,16072821.0,0.691,,0.4,,,13800854.0,-2998657.0
BTA,,,170780000.0,,13430000.0,,1.1,8.8,,9.0,-0.036000000000000004,5.4,0.0001,0.1121,12320000.0,,2529421.0,10396193.0,1.2819999999999998,,0.1,,,9974651.0,-9000544.0
BZM,,,32130000.000000004,,2080000.0,,1.0,114.3,,1.54,-0.040999999999999995,3.8,0.0,0.0693,1870000.0,,330816.0,1322282.0,,,-0.0,,,-553057.0,-14397.0
MHE,,,31750000.0,,2370000.0,,0.9,101.2,,334.7,-0.084,4.1,0.0005,0.058600000000000006,2009999.9999999998,,379573.0,1590619.0,,,0.0,,,-580611.0,89851.0
BIT,,,646020000.0,,37540000.0,,0.9,9.1,,9.2,,,0.0002,0.21850000000000003,,,,,,,,,,,
MUI,,,569470000.0,,38300000.0,,1.0,8.4,,8.5,-0.048,4.4,0.0,0.3588,35560000.0,,7114732.0,29724618.0,0.9690000000000001,,0.4,,,25931071.0,-9502688.0
MUA,,,530110000.0,,36580000.0,,1.1,13.3,,13.2,-0.06,4.6,0.0,0.0922,27760000.0,,5778198.0,24192563.0,1.5290000000000001,,0.1,,,25238305.0,-23713000.0
BBK,,,169210000.0,,10520000.0,,0.9,55.3,,57.4,-0.022000000000000002,5.1,0.0,0.1412,11530000.0,,2348750.0,9663634.0,,,0.2,,,-2363965.0,2943200.0
BBF,,,136700000.0,,10230000.0,,0.9,20.6,,21.5,-0.109,5.6,0.0,0.0885,9630000.0,,2004711.0,8076887.0,,,0.6,,,-665291.0,6333364.0
BYM,,,391870000.0,,26410000.0,,0.9,34.0,,34.5,-0.024,5.0,0.0,0.3177,25610000.0,,5360663.0,21656253.0,,,0.4,,,-3105722.0,11220930.0
BFK,,,693540000.0,,44840000.0,,1.2,9.7,,9.8,-0.06,5.4,0.0,0.12300000000000001,44920000.0,,8936578.0,38349274.0,1.34,,0.2,,,34092004.0,-27038473.0
BLE,,,361140000.0,,23560000.0,,1.0,44.7,,46.4,-0.065,5.4,0.0,0.0768,24050000.0,,5076302.0,20764456.0,,,0.3,,,-4625808.0,7904562.0
BTT,,,1800000000.0,,70510000.0,,0.9,17.3,,17.4,,3.7,0.0,0.18510000000000001,93380000.0,,20295641.0,81255808.0,,,1.4,,,777715.0,102928870.0
MEN,,,355580000.0,,29680000.0,,1.0,7.6,,7.7,-0.045,5.3,0.0001,0.2077,23010000.0,,4755408.0,19706347.0,1.02,,0.4,,,18101357.0,-6091622.0
MUC,,,611350000.0,,41000000.0,,0.9,16.0,,16.0,-0.038,4.7,0.0,0.2048,37010000.0,,7804941.0,31164484.0,-0.8029999999999999,,0.9,,,4216397.0,38339752.0
MUH,,,170950000.0,,11340000.0,,0.9,39.8,,44.3,-0.087,5.4,0.0001,0.1852,11970000.0,,2356280.0,10148361.0,0.993,,0.3,,,8828812.0,-4885683.0
MHD,,,230200000.0,,14210000.0,,1.0,9.7,,9.8,-0.073,5.4,0.0001,0.11630000000000001,15620000.0,,3094255.0,13305005.0,1.244,,0.3,,,12052747.0,-8857859.0
MFL,,,530549999.99999994,,37900000.0,,0.9,39.7,,38.8,-0.083,5.3,0.0,0.2169,33100000.0,,6767567.0,27954339.0,,,0.3,,,-7270401.0,13279036.0
MUJ,,,433860000.0,,30090000.0,,0.9,26.7,,27.2,-0.02,5.2,0.0002,0.12869999999999998,30890000.0,,6569445.0,26559750.0,,,0.5,,,-2247472.0,15778323.0
MHN,,,436160000.0,,31130000.0,,0.9,81.2,,82.4,-0.002,4.7,0.0001,0.21359999999999998,28370000.0,,5986130.0,24020826.0,,,0.1,,,-6610604.0,5233718.0
MUE,,,295250000.0,,22520000.0,,0.9,16.4,,16.5,-0.016,5.2,0.0,0.2458,19650000.0,,4185727.0,16686052.0,-0.815,,0.7,,,1814680.0,17862946.0
MUS,,,172490000.0,,13020000.0,,0.9,31.3,,33.9,0.003,5.3,0.0001,0.2668,11470000.0,,2453677.0,9703603.0,1.1320000000000001,,0.4,,,8474487.0,-3745597.0
MVT,,,317110000.0,,21340000.0,,1.0,45.3,,44.3,-0.053,5.5,0.0,0.099,21420000.0,,4441159.0,18556739.0,1.3330000000000002,,0.3,,,17207622.0,-12778894.0
MYC,,,316580000.0,,21420000.0,,0.9,11.8,,12.3,-0.145,4.7,0.0,0.1745,17980000.0,,3314603.0,14064209.0,-0.6659999999999999,,1.2,,,4222400.0,25586490.0
MCA,,,513679999.99999994,,34410000.0,,0.9,16.4,,17.3,-0.059000000000000004,4.8,0.0,0.196,32130000.000000004,,6490393.0,25926322.0,-0.8759999999999999,,0.8,,,2410870.0,29562986.0
MYD,,,673300000.0,,46920000.0,,0.9,46.3,,45.9,-0.076,5.5,0.0,0.129,45460000.0,,9239087.0,39569209.0,1.198,,0.3,,,34579878.0,-23648737.0
MYF,,,190490000.0,,13710000.0,,0.9,18.1,,19.5,-0.126,5.7,0.0001,0.1079,13010000.0,,2620495.0,10723947.0,,,0.7,,,-66184.0,9860302.0
MFT,,,120570000.0,,8480000.0,,0.9,18.9,,19.7,-0.037000000000000005,5.5,0.0001,0.2054,8210000.000000001,,1754375.0,6975254.0,-0.948,,0.7,,,206023.0,6110090.0
MIY,,,430540000.0,,29510000.0,,0.9,17.5,,18.9,-0.057999999999999996,5.0,0.0,0.1686,28290000.0,,5575871.0,22753839.0,-0.898,,0.7,,,1572994.0,22773119.0
MYJ,,,341840000.0,,24160000.0,,0.8,25.5,,26.2,-0.04,5.4,0.0002,0.0547,25750000.0,,5471927.0,22244756.0,,,0.5,,,-1764752.0,13067596.0
MYN,,,520480000.0,,39590000.0,,0.9,18.3,,19.9,0.002,4.6,0.0,0.1832,33740000.0,,6717032.0,26882506.0,-0.977,,0.6,,,442347.0,26259527.0
MPA,,,193850000.0,,13310000.0,,0.9,22.0,,24.2,-0.032,4.9,0.0001,0.1075,13120000.0,,2607021.0,10509537.0,,,0.5,,,-401133.0,7876920.0
MQT,,,315360000.0,,22560000.0,,1.0,7.6,,7.7,-0.045,5.1,0.0,0.2687,20130000.0,,4151375.0,17191251.0,1.0090000000000001,,0.4,,,15511662.0,-4846667.0
MYI,,,965010000.0,,68150000.0,,0.9,17.7,,18.8,-0.048,5.2,0.0,0.3379,58960000.0,,11863058.0,47762305.0,,,0.7,,,-3148447.0,51545865.0
MQY,,,506800000.0,,30730000.0,,1.0,28.5,,29.0,-0.03,5.2,0.0,0.1707,31260000.0,,6569525.0,26821720.0,0.981,,0.5,,,24624418.0,-7171962.0
BNY,,,184520000.0,,12980000.0,,0.9,24.4,,25.3,-0.024,4.6,0.0001,0.1201,12440000.0,,2547416.0,10232488.0,,,0.5,,,-408524.0,7281724.0
BSE,,,88540000.0,,6520000.0,,0.9,76.0,,97.0,0.008,4.3,0.0003,0.36560000000000004,5880000.0,,1173748.0,4729360.0,,,0.1,,,-1185574.0,951704.0
BFY,,,72470000.0,,5000000.0,,0.9,107.4,,160.8,-0.012,4.7,0.0004,0.1365,5090000.0,,1044005.0,4179954.0,,,0.0,,,-1236646.0,437574.0
BCX,,,667460000.0,,90080000.0,,1.0,5.3,,5.3,,,0.0,0.3849,,,,,,,,,,,
BST,,,1290000000.0,,24170000.0,,1.3,5.8,,5.6,,,0.0001,0.1864,,,,,,,,,,,
BSTZ,,,2840000000.0,,78090000.0,,1.4,5.5,,5.3,,,0.0009,0.16519999999999999,,,,,,,,,,,
BSD,,,104360000.0,,7310000.0,,1.1,9.5,,9.1,-0.06,5.4,0.0002,0.1656,7580000.0,,1514031.0,6312229.0,1.181,,0.2,,,5433869.0,-4024600.0
BUI,,,444180000.0,,17740000.0,,1.2,58.7,,56.9,,7.0,0.0001,0.1112,,,,,,,,,,,
BHV,,,25570000.0,,1610000.0,,1.0,42.4,,54.8,-0.11800000000000001,4.1,0.002,0.0507,1530000.0,,268665.0,1120503.0,,,0.2,,,-172528.0,457634.0
BLK,Finance,Investment Bankers/Brokers/Service,111010000000.0,111730000000.0,152510000.0,2.6,3.2,6.9,20.2,22.8,0.126,2.4,0.012199999999999999,0.8745999999999999,8270000000.0,6170000000.0,1848000000.0,5718000000.0,0.19,6320000000.0,31.8,,,1548000000.0,4932000000.0
BGX,,,170540000.0,,12710000.0,,0.9,7.4,,8.0,,8.5,0.0012,0.2434,,,,,,,,,,,
BSL,,,208510000.0,,15290000.0,,0.9,10.1,,10.7,-0.185,7.3,0.0011,0.4475,28970000.0,,5106888.0,24299587.0,,9480000.0,-1.1,0.0,9475432.0,-11823931.0,19043860.0
BGB,,,557410000.0,,44660000.0,,0.9,7.8,,8.3,,8.8,0.0006,0.4207,,,,,,,,,,,
BE,Energy,Industrial Machinery/Components,6060000000.0,6770000000.0,138310000.0,28.0,,6.1,714.2,,-0.107,,0.0366,0.5422,192430000.0,-55270000.0,-372000.0,-137961000.0,,325240000.0,-1.5,1.2574893109001055,325241000.0,-11954000.0,-304414000.0
APRN,Consumer Services,Catalog/Specialty Distribution,127510000.0,147930000.0,14030000.0,,1.7,0.2,,,0.128,,0.16760000000000003,0.3166,175730000.0,-16290000.0,-12666000.0,-48176000.0,,58720000.0,-4.0,0.2925819942769095,58722000.0,-15262000.0,-61081000.0
BXG,Finance,Real Estate,551610000.0,993480000.0,72480000.0,,1.8,1.2,7.0,48.1,-0.29600000000000004,,0.9298000000000001,0.0424,565570000.0,125960000.0,25460000.0,140446000.0,-0.513,193100000.0,0.1,-0.07794601460174667,193103000.0,9901000.0,34851000.0
BVH,Finance,Real Estate,251850000.0,816250000.0,15620000.0,,1.4,0.3,,15.4,-0.294,,0.2596,0.2934,635650000.0,-5170000.0,-14949000.0,56227000.0,,211110000.0,,-0.3934405033831832,211110000.0,-25322000.0,17691000.0
BXC,Capital Goods,Wholesale Distributors,342790000.0,969450000.0,9460000.0,,8.9,0.1,,6.7,0.28300000000000003,,0.0385,0.7242000000000001,356920000.0,131220000.0,72772000.0,22072000.0,,10150000.0,5.4,-0.11934084995663487,10154000.0,55116000.0,-17656000.0
BOAC,Finance,Business Services,830000000.0,830240000.0,60750000.0,,,,,,,,,,,,0.0,,,,,,,-23124.0,
BOAC.U,,,,,,,,,,,,,,,,,,,,,,,,,
BOAC.WS,,,,,,,,,,,,,,,,,,,,,,,,,
DCF,,,127040000.0,,14960000.0,,0.9,113.2,,283.0,,,0.0,0.1618,,,,,,,,,,,
DHF,,,216670000.0,,72710000.0,,0.9,307.8,,12.1,-0.138,9.5,0.0,0.2887,24560000.0,,4784974.0,21466780.0,2.948,256.85,0.004,0.0,256854.0,22967560.0,-34011807.0
DMB,,,258350000.00000003,,18390000.0,,0.9,50.6,,54.0,-0.012,5.0,0.0,0.161,17300000.0,,3571527.0,14464124.0,,1120000.0,0.2,0.0,1123179.0,-4355291.0,35779135.0
DSM,,,388950000.0,,49420000.0,,1.0,8.6,,8.8,-0.09300000000000001,5.6,0.0,0.1957,27470000.0,,5500176.0,24050985.0,,4960000.0,-0.1,0.0,4960205.0,-9250774.0,41282159.0
LEO,,,522559999.99999994,,62210000.0,,1.0,66.2,,76.3,-0.043,5.6,0.0,0.1564,34940000.0,,7686490.0,30493423.0,0.23199999999999998,531.59,0.1,0.0,531593.0,19107444.0,7951343.0
BA,Capital Goods,Aerospace,115340000000.0,149190000000.0,564530000.0,6.5,,1.9,101.0,,-0.292,2.5,0.0012,0.5289,4760000000.0,-2210000000.0,497000000.0,-2102000000.0,,27120000000.0,-7.8,-0.47158863545418167,10564000000.0,-449000000.0,-636000000.0
BCC,Consumer Services,RETAIL: Building Materials,1920000000.0,1950000000.0,39200000.0,,2.4,0.3,15.1,11.8,0.252,,0.009899999999999999,0.9947,677630000.0,354090000.0,158270000.0,133202000.0,2.798,503940000.0,4.1,0.3942579045806173,503935000.0,103192000.0,80925000.0
BCEI,Energy,Oil & Gas Production,492110000.0,544690000.0,20830000.0,,0.5,2.1,4.5,12.7,-0.217,,0.0219,1.0228,233680000.0,180890000.0,9389000.0,70264000.0,-0.909,3780000.0,1.9,-0.08856177606177607,3777000.0,3251000.0,67067000.0
BOOT,Consumer Services,Clothing/Shoe/Accessory Stores,1640000000.0,1990000000.0,28870000.0,,4.9,2.0,29.2,46.7,-0.013999999999999999,,0.0037,1.276,276490000.0,80060000.0,10042000.0,73668000.0,-0.25,35670000.0,1.2,-0.5708528325493546,35672000.0,5758000.0,47949000.0
BAH,Consumer Services,Professional Services,12630000000.0,14070000000.0,137900000.0,,12.8,1.6,21.5,24.6,0.11,1.5,0.015600000000000001,0.9292,1790000000.0,795860000.0,206162000.0,664343000.0,0.19,1280000000.0,3.6,1.0547298473120081,1275190000.0,136081000.0,482603000.0
BQ,Consumer Services,Other Specialty Stores,596250000.0,596250000.0,90750000.0,,19.0,4.4,,,0.34299999999999997,,0.0,0.0079,158770000.0,,-34183000.0,-137386000.0,,,,-0.6002503207234269,127756000.0,-28067000.0,-179024000.0
BWA,Capital Goods,Auto Parts:O.E.M.,9440000000.0,10150000000.0,244520000.0,1.0,1.9,0.9,10.1,21.9,0.017,1.5,0.0039000000000000003,0.9153,2100000000.0,1340000000.0,319000000.0,1206000000.0,-0.428,2120000000.0,1.7,0.05891163255117324,2121000000.0,111000000.0,746000000.0
BORR,Energy,Oil & Gas Production,203360000.0,2100000000.0,218860000.0,,0.1,0.3,,,-0.424,,0.1398,0.44689999999999996,26200000.0,8400000.0,-34000000.0,-145800000.0,,12500000.0,-3.264,-0.638728323699422,12500000.0,-61900000.0,-297600000.0
SAM,Consumer Non-Durables,Beverages (Production/Distribution),12250000000.0,12160000000.0,9930000.0,1.4,13.3,7.8,49.7,71.8,0.302,,0.0764,0.8744,616370000.0,298420000.0,102222000.0,155823000.0,0.8059999999999999,157130000.0,14.0,0.8120070113935145,157130000.0,80768000.0,110041000.0
BXP,Consumer Services,Real Estate Investment Trusts,14330000000.0,26300000000.0,155640000.0,21.0,2.4,5.0,32.5,14.3,-0.075,2.7,0.0014000000000000002,0.9742000000000001,1840000000.0,1610000000.0,229901000.0,1032722000.0,-0.162,1710000000.0,6.4,0.014036274568359128,1714783000.0,92479000.0,521534000.0
BXP^B,,,,,,,,,,,,,,,,,,,,,,,,,
BSX,Health Care,Medical/Dental Instruments,51450000000.0,58760000000.0,,2.8,3.3,5.0,22.4,13.9,,,,,7630000000.0,,282000000.0,1806000000.0,,,,0.1728538283062645,2022000000.0,-155000000.0,4700000000.0
BSX^A,,,,,,,,,,,,,,,,,,,,,,,,,
